161;2904
162;2904
163;2904
164;2816
165;2816
166;2816
300;1440
301;1440
322;2080
330;1650
331;1650
335;220
336;220
337;160
360;448
361;120
362;208
750;352
800;1566
810;884
820;528
840;224
841;224
005;1984
021;650
022;1584
023;1092
024;960
025;1080
027;920
028;2560
029;640
030;576
031;1984
034;462
035;924
036;924
037;464
038;464
045;460
055;1152
070;506
081;884
090;640
123;10920
123;1092
127;920
128;2560
129;640
130;576
131;1984
132;952
135;924
145;460
148;198
150;3450
161;2904
162;2904
163;2904
164;2816
165;2816
166;2816
190;640
200;1408
205;1984
206;1024
220;1408
550;800
600;11200
601;5000
650;6600
830;1176
831;704
900;520
901;1518
MT1;8000
651;6600
127S;800
